Patient Name         : Acuros lung evaluation, RC Physics
Patient ID           : Case30_AXB_Dm
Comment              : DVHs for one plan
Date                 : 06 February 2017 12:50:22
Exported by          : rcole
Type                 : Cumulative Dose Volume Histogram
Description          : The cumulative DVH displays the percentage (relative)
                       or volume (absolute) of structures that receive a dose
                       equal to or greater than a given dose.

Plan: Case30_AXB_Dm
Course: 30
Plan Status: Unapproved
Prescribed dose [Gy]: 55.000
% for dose (%): 100.0

Structure: BODY
Approval Status: Unapproved
Plan: Case30_AXB_Dm
Course: 30
Volume [cm³]: 18642.8
Dose Cover.[%]: 100.0
Sampling Cover.[%]: 99.8
Min Dose [%]: 0.0
Max Dose [%]: 147.2
Mean Dose [%]: 1.9
Modal Dose [%]: 0.1
Median Dose [%]: 0.2
STD [%]: 5.9
Equiv. Sphere Diam. [cm]: 32.9
Conformity Index: N/A
Gradient Measure [cm]: N/A

Relative dose [%]           Dose [Gy] Ratio of Total Structure Volume [%]
             18.4               10.12                   1.95652
             18.5              10.175                   1.94006
             18.6               10.23                   1.92297
             18.7              10.285                   1.90644
             18.8               10.34                   1.89012
             18.9              10.395                   1.87412
               19               10.45                   1.85872
             19.1              10.505                   1.84344
             19.2               10.56                   1.82782
             19.3              10.615                   1.81259
             19.4               10.67                   1.79751
             19.5              10.725                   1.78247
             19.6               10.78                   1.76754
             19.7              10.835                   1.75299
             19.8               10.89                   1.73841
             19.9              10.945                   1.72347
               20                  11                   1.70809
             20.1              11.055                     1.693
             20.2               11.11                   1.67902
             20.3              11.165                   1.66502
             20.4               11.22                   1.65168
             20.5              11.275                   1.63805
             20.6               11.33                   1.62502
             20.7              11.385                   1.61209
             20.8               11.44                   1.60003
             20.9              11.495                    1.5881
               21               11.55                   1.57594
             21.1              11.605                   1.56369
             21.2               11.66                   1.55199
             21.3              11.715                   1.54032
             21.4               11.77                   1.52856
             21.5              11.825                   1.51679
             21.6               11.88                    1.5052
             21.7              11.935                   1.49431
             21.8               11.99                   1.48379
             21.9              12.045                    1.4734
               22                12.1                   1.46299
             22.1              12.155                   1.45263
             22.2               12.21                   1.44219
             22.3              12.265                   1.43206
             22.4               12.32                   1.42168
             22.5              12.375                   1.41171
             22.6               12.43                   1.40148
             22.7              12.485                   1.39156
             22.8               12.54                   1.38186
             22.9              12.595                   1.37214
               23               12.65                    1.3626
             23.1              12.705                   1.35318
             23.2               12.76                   1.34419
             23.3              12.815                   1.33527
             23.4               12.87                   1.32644
             23.5              12.925                   1.31789
             23.6               12.98                   1.30924
             23.7              13.035                   1.30092
             23.8               13.09                   1.29255
             23.9              13.145                   1.28439
               24                13.2                    1.2762
             24.1              13.255                   1.26783
             24.2               13.31                   1.25948
             24.3              13.365                   1.25128
             24.4               13.42                   1.24328
             24.5              13.475                   1.23539
             24.6               13.53                   1.22727
             24.7              13.585                   1.21903
             24.8               13.64                   1.21116
             24.9              13.695                   1.20298
               25               13.75                   1.19501
             25.1              13.805                   1.18755
             25.2               13.86                   1.18003
             25.3              13.915                     1.172
             25.4               13.97                   1.16434
             25.5              14.025                   1.15647
             25.6               14.08                   1.14844
             25.7              14.135                   1.14061
             25.8               14.19                   1.13315
             25.9              14.245                    1.1258
               26                14.3                   1.11852
             26.1              14.355                    1.1116
             26.2               14.41                   1.10455
             26.3              14.465                   1.09776
             26.4               14.52                   1.09085
             26.5              14.575                   1.08417
             26.6               14.63                    1.0773
             26.7              14.685                   1.07056
             26.8               14.74                   1.06336
             26.9              14.795                   1.05656
               27               14.85                   1.04983
             27.1              14.905                   1.04316
             27.2               14.96                   1.03676
             27.3              15.015                   1.03038
             27.4               15.07                   1.02357
             27.5              15.125                   1.01637
             27.6               15.18                   1.00974
             27.7              15.235                   1.00313
             27.8               15.29                   0.99675
             27.9              15.345                  0.990257
               28                15.4                  0.983872
             28.1              15.455                  0.977689
             28.2               15.51                  0.971325
             28.3              15.565                  0.965083
