Patient Name         : Acuros lung evaluation, RC Physics
Patient ID           : Case25_AXB_Dm
Comment              : DVHs for one plan
Date                 : 06 February 2017 15:11:59
Exported by          : rcole
Type                 : Cumulative Dose Volume Histogram
Description          : The cumulative DVH displays the percentage (relative)
                       or volume (absolute) of structures that receive a dose
                       equal to or greater than a given dose.

Plan: Case25_AXB_Dm
Course: 1
Plan Status: Unapproved
Prescribed dose [Gy]: 55.000
% for dose (%): 100.0

Structure: BODY
Approval Status: Unapproved
Plan: Case25_AXB_Dm
Course: 1
Volume [cm³]: 32484.9
Dose Cover.[%]: 100.0
Sampling Cover.[%]: 99.9
Min Dose [%]: 0.0
Max Dose [%]: 118.2
Mean Dose [%]: 4.0
Modal Dose [%]: 0.1
Median Dose [%]: 0.6
STD [%]: 9.2
Equiv. Sphere Diam. [cm]: 39.6
Conformity Index: N/A
Gradient Measure [cm]: N/A

Relative dose [%]           Dose [Gy] Ratio of Total Structure Volume [%]
             18.4               10.12                   5.19079
             18.5              10.175                    5.1358
             18.6               10.23                   5.08232
             18.7              10.285                   5.03031
             18.8               10.34                   4.97763
             18.9              10.395                   4.92563
               19               10.45                   4.87334
             19.1              10.505                    4.8226
             19.2               10.56                   4.77279
             19.3              10.615                   4.72261
             19.4               10.67                   4.67366
             19.5              10.725                   4.62421
             19.6               10.78                   4.57544
             19.7              10.835                   4.52864
             19.8               10.89                    4.4819
             19.9              10.945                   4.43511
               20                  11                   4.38823
             20.1              11.055                   4.34337
             20.2               11.11                   4.29958
             20.3              11.165                   4.25624
             20.4               11.22                   4.21259
             20.5              11.275                    4.1686
             20.6               11.33                   4.12557
             20.7              11.385                   4.08317
             20.8               11.44                   4.04203
             20.9              11.495                   4.00177
               21               11.55                   3.96192
             21.1              11.605                   3.92226
             21.2               11.66                   3.88232
             21.3              11.715                   3.84284
             21.4               11.77                    3.8039
             21.5              11.825                   3.76583
             21.6               11.88                    3.7277
             21.7              11.935                   3.68929
             21.8               11.99                   3.65206
             21.9              12.045                   3.61552
               22                12.1                   3.57954
             22.1              12.155                   3.54418
             22.2               12.21                    3.5091
             22.3              12.265                   3.47464
             22.4               12.32                   3.44068
             22.5              12.375                   3.40769
             22.6               12.43                   3.37473
             22.7              12.485                   3.34237
             22.8               12.54                   3.30972
             22.9              12.595                   3.27906
               23               12.65                   3.24784
             23.1              12.705                   3.21637
             23.2               12.76                   3.18535
             23.3              12.815                   3.15574
             23.4               12.87                   3.12583
             23.5              12.925                   3.09729
             23.6               12.98                   3.06815
             23.7              13.035                   3.03898
             23.8               13.09                   3.01077
             23.9              13.145                    2.9832
               24                13.2                   2.95652
             24.1              13.255                   2.92951
             24.2               13.31                   2.90251
             24.3              13.365                   2.87621
             24.4               13.42                   2.85035
             24.5              13.475                   2.82484
             24.6               13.53                   2.79925
             24.7              13.585                   2.77457
             24.8               13.64                   2.75015
             24.9              13.695                   2.72549
               25               13.75                   2.70172
             25.1              13.805                   2.67846
             25.2               13.86                   2.65521
             25.3              13.915                   2.63246
             25.4               13.97                    2.6099
             25.5              14.025                   2.58781
             25.6               14.08                   2.56597
             25.7              14.135                   2.54384
             25.8               14.19                   2.52145
             25.9              14.245                   2.49997
               26                14.3                   2.47914
             26.1              14.355                   2.45837
             26.2               14.41                   2.43785
             26.3              14.465                   2.41769
             26.4               14.52                   2.39802
             26.5              14.575                    2.3779
             26.6               14.63                   2.35794
             26.7              14.685                   2.33806
             26.8               14.74                   2.31885
             26.9              14.795                   2.30025
               27               14.85                   2.28168
             27.1              14.905                   2.26369
             27.2               14.96                   2.24638
             27.3              15.015                   2.22906
             27.4               15.07                   2.21191
             27.5              15.125                   2.19511
             27.6               15.18                    2.1776
             27.7              15.235                   2.16075
             27.8               15.29                   2.14441
             27.9              15.345                   2.12852
               28                15.4                   2.11189
             28.1              15.455                   2.09585
             28.2               15.51                   2.08044
             28.3              15.565                   2.06499
             28.4               15.62                   2.04979
             28.5              15.675                   2.03439
             28.6               15.73                   2.01937
             28.7              15.785                   2.00488
             28.8               15.84                   1.99014
             28.9              15.895                   1.97542
               29               15.95                   1.96128
             29.1              16.005                   1.94677
             29.2               16.06                   1.93169
             29.3              16.115                   1.91691
             29.4               16.17                   1.90323
             29.5              16.225                   1.88995
             29.6               16.28                   1.87638
             29.7              16.335                   1.86372
             29.8               16.39                   1.85102
             29.9              16.445                   1.83871
               30                16.5                   1.82578
             30.1              16.555                   1.81287
             30.2               16.61                   1.80066
             30.3              16.665                   1.78825
