Patient Name         : Acuros lung evaluation, RC Physics
Patient ID           : Case30_AAA
Comment              : DVHs for one plan
Date                 : 06 February 2017 12:41:39
Exported by          : rcole
Type                 : Cumulative Dose Volume Histogram
Description          : The cumulative DVH displays the percentage (relative)
                       or volume (absolute) of structures that receive a dose
                       equal to or greater than a given dose.

Plan: Case30_AAA
Course: 30
Plan Status: Unapproved
Prescribed dose [Gy]: 55.000
% for dose (%): 100.0

Structure: BODY
Approval Status: Unapproved
Plan: Case30_AAA
Course: 30
Volume [cm³]: 18642.8
Dose Cover.[%]: 100.0
Sampling Cover.[%]: 100.1
Min Dose [%]: 0.0
Max Dose [%]: 134.6
Mean Dose [%]: 1.7
Modal Dose [%]: 0.0
Median Dose [%]: 0.2
STD [%]: 5.6
Equiv. Sphere Diam. [cm]: 32.9
Conformity Index: N/A
Gradient Measure [cm]: N/A

Relative dose [%]           Dose [Gy] Ratio of Total Structure Volume [%]
             18.4               10.12                   1.67606
             18.5              10.175                   1.66185
             18.6               10.23                   1.64763
             18.7              10.285                   1.63386
             18.8               10.34                    1.6205
             18.9              10.395                   1.60696
               19               10.45                   1.59326
             19.1              10.505                   1.58028
             19.2               10.56                   1.56713
             19.3              10.615                   1.55428
             19.4               10.67                   1.54122
             19.5              10.725                   1.52763
             19.6               10.78                    1.5146
             19.7              10.835                   1.50202
             19.8               10.89                   1.49013
             19.9              10.945                   1.47805
               20                  11                   1.46642
             20.1              11.055                   1.45477
             20.2               11.11                   1.44354
             20.3              11.165                   1.43263
             20.4               11.22                   1.42152
             20.5              11.275                   1.41095
             20.6               11.33                    1.4006
             20.7              11.385                   1.39034
             20.8               11.44                   1.38037
             20.9              11.495                    1.3702
               21               11.55                    1.3601
             21.1              11.605                   1.34999
             21.2               11.66                   1.34009
             21.3              11.715                   1.33055
             21.4               11.77                   1.32106
             21.5              11.825                   1.31148
             21.6               11.88                   1.30209
             21.7              11.935                    1.2927
             21.8               11.99                   1.28353
             21.9              12.045                   1.27453
               22                12.1                   1.26555
             22.1              12.155                     1.256
             22.2               12.21                   1.24706
             22.3              12.265                   1.23812
             22.4               12.32                   1.22923
             22.5              12.375                   1.22053
             22.6               12.43                    1.2117
             22.7              12.485                   1.20282
             22.8               12.54                   1.19429
             22.9              12.595                   1.18644
               23               12.65                   1.17845
             23.1              12.705                   1.17015
             23.2               12.76                   1.16206
             23.3              12.815                   1.15408
             23.4               12.87                   1.14647
             23.5              12.925                   1.13872
             23.6               12.98                   1.13089
             23.7              13.035                   1.12355
             23.8               13.09                   1.11601
             23.9              13.145                   1.10778
               24                13.2                   1.09952
             24.1              13.255                   1.09155
             24.2               13.31                   1.08407
             24.3              13.365                   1.07639
             24.4               13.42                   1.06841
             24.5              13.475                   1.06083
             24.6               13.53                   1.05316
             24.7              13.585                   1.04619
             24.8               13.64                   1.03937
             24.9              13.695                   1.03271
               25               13.75                   1.02617
             25.1              13.805                   1.01944
             25.2               13.86                   1.01238
             25.3              13.915                   1.00522
             25.4               13.97                   0.99857
             25.5              14.025                  0.991219
             25.6               14.08                   0.98464
             25.7              14.135                  0.978294
             25.8               14.19                  0.971656
             25.9              14.245                  0.965172
               26                14.3                  0.958606
             26.1              14.355                  0.951844
             26.2               14.41                  0.945515
             26.3              14.465                  0.939099
             26.4               14.52                  0.932974
             26.5              14.575                  0.927095
             26.6               14.63                  0.921383
             26.7              14.685                  0.915576
             26.8               14.74                   0.90931
             26.9              14.795                  0.903126
               27               14.85                  0.896999
             27.1              14.905                   0.89104
             27.2               14.96                   0.88515
             27.3              15.015                  0.879115
             27.4               15.07                  0.873204
             27.5              15.125                  0.867234
             27.6               15.18                   0.86125
             27.7              15.235                  0.855319
             27.8               15.29                  0.849794
             27.9              15.345                  0.844234
               28                15.4                  0.838903
             28.1              15.455                   0.83358
             28.2               15.51                  0.828061
             28.3              15.565                  0.822781
             28.4               15.62                  0.817433
             28.5              15.675                  0.812243
             28.6               15.73                  0.807121
             28.7              15.785                  0.801858
             28.8               15.84                  0.796457
             28.9              15.895                  0.791097
               29               15.95                  0.786057
             29.1              16.005                   0.78107
             29.2               16.06                  0.776286
             29.3              16.115                  0.771588
             29.4               16.17                  0.766808
             29.5              16.225                   0.76191
             29.6               16.28                  0.756954
             29.7              16.335                  0.752055
             29.8               16.39                  0.747052
             29.9              16.445                  0.741934
               30                16.5                  0.736983
             30.1              16.555                  0.732203
             30.2               16.61                  0.727333
             30.3              16.665                  0.722475
             30.4               16.72                  0.717793
             30.5              16.775                  0.713094
             30.6               16.83                  0.708694
             30.7              16.885                  0.704171
             30.8               16.94                   0.69972
             30.9              16.995                   0.69536
               31               17.05                  0.691076
             31.1              17.105                  0.686605
             31.2               17.16                  0.681756
             31.3              17.215                   0.67703
             31.4               17.27                  0.672596
             31.5              17.325                  0.668096
             31.6               17.38                   0.66376
             31.7              17.435                  0.659446
             31.8               17.49                  0.655273
             31.9              17.545                  0.651002
               32                17.6                  0.646739
             32.1              17.655                   0.64253
             32.2               17.71                  0.638324
